symbol,name,price,assets,avg_vol,ytd,inverse,leveraged,week1,week4,year1,year3,year5,etfdb,inception,er,commission_free,annual_dividend_rate,dividend_date,dividend,annual_dividend_yield,p_e_ratio,beta,holdings,top_10,l_bollinger,u_bollinger,support1,resistance1,rsi,day_200,cap_gains,lt_cap_gains,tax_form,liquidity,expenses,performance,volatility,score_dividend,concentration,overall
VIIX,VelocityShares Daily Long VIX Short-Term ETN,11.42,13525.6,307272,-57.91%,No,No,-13.09%,-8.86%,-65.44%,-84.74%,-98.94%,Volatility,2010-11-29,0.89%,Not Available,n/a,n/a,n/a,n/a,n/a,-6.17,n/a,n/a,$10.88,$13.87,n/a,n/a,39,70.90%,35%,15%,1099,A-,A-,B-,B-,n/a,n/a,B-
VIIZ,VelocityShares Daily Long VIX Medium-Term ETN,13.18,859.3,7088,-14.64%,No,No,-5.18%,-3.94%,-26.08%,-48.82%,-86.55%,Volatility,2010-11-29,0.89%,Not Available,n/a,n/a,n/a,n/a,n/a,-2.19,n/a,n/a,$13.10,$14.11,$13.13,$13.21,41,37.83%,35%,15%,1099,B-,B+,B,A-,n/a,n/a,B-
HYLD,Peritus High Yield ETF,35.20,206797.5,32174,12.73%,No,No,1.50%,0.89%,2.48%,-12.96%,11.39%,High Yield Bonds,2010-12-02,1.18%,Not Available,$2.76,2016-08-25,$0.21,7.80%,n/a,0.54,112,17.15%,$34.59,$35.33,$35.14,$35.28,63,6.68%,35%,15%,1099,B+,C,A,B+,A+,B-,A-
XVIX,E-TRACS Daily Long-Short VIX ETN,18.77,14077.5,743,17.68%,No,No,0.27%,3.93%,9.64%,0.75%,-12.53%,Volatility,2010-12-01,0.85%,Not Available,n/a,n/a,n/a,n/a,n/a,2.40,n/a,n/a,$16.85,$19.22,n/a,n/a,73,19.12%,35%,15%,1099,C+,A,A-,A,n/a,n/a,A-
KBWY,PowerShares KBW Premium Yield Equity REIT Portfolio ETF,37.01,247766,91491,28.14%,No,No,4.49%,0.84%,32.83%,43.81%,130.11%,Real Estate,2010-12-02,0.35%,Not Available,$2.20,2016-09-15,$0.22,5.96%,45.89,-2.06,29,46.57%,$34.74,$38.35,$36.71,$37.22,54,18.37%,35%,15%,1099,B,A-,A+,B-,A,C+,A
KBWD,PowerShares KBW High Dividend Yield Financial Portfolio ETF,22.10,222406.5,42220,12.62%,No,No,1.80%,0.82%,7.15%,13.67%,68.18%,Financials Equities,2010-12-02,2.80%,Not Available,$1.76,2016-09-15,$0.15,7.95%,9.00,1.02,37,51.13%,$21.54,$22.46,$22.04,$22.17,57,12.29%,35%,15%,1099,B+,C,C,A,A,B-,B
KBWP,PowerShares KBW Property & Casualty Insurance Portfolio ETF,50.32,61080,17603,5.99%,No,No,1.62%,0.34%,12.58%,46.82%,152.92%,Financials Equities,2010-12-02,0.35%,Not Available,$0.93,2016-09-16,$0.24,1.83%,13.85,1.03,24,60.11%,$49.49,$51.33,$50.18,$50.57,52,13.16%,35%,15%,1099,B,A-,B-,A+,B+,C,B+
STIP,iShares 0-5 Year TIPS Bond ETF,100.89,755475.1,35908,1.99%,No,No,0.29%,0.18%,1.68%,0.30%,1.13%,Inflation-Protected Bonds,2010-03-12,0.10%,Fidelity,n/a,2014-09-02,$0.09,0.09%,n/a,0.18,16,87.02%,$100.28,$100.90,$100.85,$100.91,54,1.93%,35%,15%,1099,B,B+,A-,A+,B-,B,A-
RALS,RAFI Long/Short ETF,38.65,39657.3,4395,0.60%,No,No,-0.28%,-0.33%,0.99%,-2.80%,11.16%,Long-Short,2010-12-09,0.95%,Charles Schwab,$0.71,2016-09-21,$0.13,1.83%,16.28,0.37,1000,115.52%,$38.62,$39.00,n/a,n/a,47,5.32%,35%,15%,1099,A,B-,A,A,n/a,n/a,A+
SPYV,SPDR S&P 500 Value ETF,102.47,252128,6371,8.85%,No,No,1.34%,-0.27%,15.60%,27.07%,108.82%,Large Cap Value Equities,2000-09-25,0.15%,Not Available,$2.55,2016-09-16,$0.63,2.48%,16.23,0.98,363,24.71%,$100.64,$104.39,$102.35,$102.69,51,12.03%,35%,15%,1099,B-,A,B,B-,B+,A-,A-
SPYG,SPDR S&P 500 Growth ETF,105.41,693645,32743,6.42%,No,No,1.28%,0.30%,13.36%,40.73%,113.46%,Large Cap Growth Equities,2000-09-25,0.15%,Not Available,$1.61,2016-09-16,$0.38,1.52%,20.02,1.00,318,28.58%,$102.91,$106.36,$105.20,$105.73,54,11.77%,35%,15%,1099,B,A-,A,A-,A,A-,A-
MDYV,SPDR S&P 400 Mid Cap Value ETF,85.60,237352.5,16629,14.27%,No,No,2.32%,-0.48%,12.60%,25.84%,117.62%,Mid Cap Value Equities,2005-08-11,0.15%,Charles Schwab,$1.67,2016-09-16,$0.44,1.93%,17.40,1.31,309,8.92%,$83.11,$87.91,$85.32,$86.17,52,15.67%,35%,15%,1099,C+,A,B+,A,A-,A-,A
MDYG,SPDR S&P 400 Mid Cap Growth ETF,128.39,438362,16549,9.98%,No,No,1.56%,-0.37%,9.57%,28.79%,102.61%,Mid Cap Growth Equities,2005-08-11,0.15%,Charles Schwab,$1.53,2016-09-16,$0.42,1.19%,21.56,1.10,227,12.19%,$125.17,$131.32,n/a,n/a,52,13.93%,35%,15%,1099,B-,A,A-,A-,A,A-,A-
SLY,SPDR S&P 600 Small Cap ETF,111.86,489549,16209,14.12%,No,No,2.66%,1.13%,13.54%,27.42%,123.24%,Small Cap Blend Equities,2005-08-11,0.15%,Not Available,$1.47,2016-09-16,$0.33,1.31%,17.30,1.35,601,5.12%,$107.99,$113.22,$111.55,$112.45,57,16.20%,35%,15%,1099,B-,A-,B,A-,B-,B+,B+
SLYV,SPDR S&P 600 Small Cap Value ETF,106.96,591907.6,32371,16.46%,No,No,2.75%,0.50%,13.61%,22.00%,119.76%,Small Cap Value Equities,2000-09-25,0.15%,Charles Schwab,$1.58,2016-09-16,$0.38,1.47%,17.30,1.35,458,8.24%,$103.05,$108.63,n/a,n/a,56,16.80%,35%,15%,1099,B,A,B+,B+,B,B,B+
SLYG,SPDR S&P 600 Small Cap Growth ETF,192.20,801780,16646,12.41%,No,No,2.46%,1.62%,8.72%,26.65%,116.82%,Small Cap Growth Equities,2000-09-25,0.15%,Charles Schwab,$2.34,2016-09-16,$0.46,1.21%,20.23,1.25,349,9.79%,$185.24,$193.81,n/a,n/a,59,15.96%,35%,15%,1099,B+,A,B-,B-,B-,A-,B
SCHH,Schwab U.S. REIT ETF,43.58,2890932.2,479555,11.68%,No,No,4.23%,1.02%,21.40%,49.07%,108.35%,Real Estate,2011-01-13,0.07%,Charles Schwab,$1.02,2016-09-19,$0.23,2.35%,28.89,-1.56,100,42.68%,$41.26,$44.58,$43.11,$43.90,54,14.76%,35%,15%,1099,A-,A+,B+,A-,B-,A-,A
SCHM,Schwab U.S. Mid-Cap ETF,43.51,2562733.6,250386,9.71%,No,No,1.81%,0.20%,11.28%,30.82%,119.77%,Mid Cap Blend Equities,2011-01-13,0.07%,Charles Schwab,$0.60,2016-09-19,$0.14,1.37%,20.56,1.17,487,5.59%,$42.42,$44.27,$43.41,$43.70,53,14.38%,35%,15%,1099,A-,A+,A,C+,A-,A-,A
XHE,SPDR S&P Health Care Equipment ETF,52.23,68341,13578,17.33%,No,No,1.28%,1.76%,13.46%,56.44%,138.97%,Health & Biotech Equities,2011-01-26,0.35%,Not Available,$0.12,2016-09-16,$0.01,0.23%,24.70,1.47,64,21.48%,$50.59,$52.87,$52.07,$52.42,58,16.14%,35%,15%,1099,C,A,C,A,A-,B+,B
XTN,SPDR S&P Transportation ETF,46.66,201240,39202,9.53%,No,No,0.91%,1.09%,5.66%,31.68%,146.19%,Transportation Equities,2011-01-26,0.35%,Not Available,$0.35,2016-09-16,$0.09,0.74%,13.86,1.47,46,28.59%,$45.72,$47.64,$46.51,$46.77,52,19.88%,35%,15%,1099,A-,A+,A+,A-,A-,A+,A
XTL,SPDR S&P Telecom ETF,65.87,26420,5108,18.23%,No,No,2.54%,5.56%,25.01%,28.96%,84.09%,Communications Equities,2011-01-26,0.35%,Not Available,$0.77,2016-09-16,$0.18,1.17%,18.78,1.36,56,29.01%,$62.31,$65.80,$65.65,$66.16,62,17.51%,35%,15%,1099,C+,A,A,B+,A-,B+,A
HDGE,Ranger Equity Bear ETF,9.63,207360,425863,-10.50%,Yes,No,-0.72%,0.84%,-15.90%,-32.23%,-67.13%,Inverse Equities,2011-01-27,2.92%,Not Available,n/a,n/a,n/a,n/a,n/a,-1.34,4,76.54%,$9.38,$9.81,$9.58,$9.65,48,19.98%,35%,15%,1099,A-,C,C,B,n/a,n/a,C+
TPS,UltraShort TIPS ETF,24.55,1222.5,925,-12.88%,Yes,2x,0.00%,-0.45%,-11.02%,-16.72%,-19.35%,Leveraged Bonds,2011-02-10,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-1.38,3,200.39%,$24.26,$25.00,$24.54,$24.57,45,14.09%,35%,15%,1099,B,C,A-,A-,n/a,n/a,B-
BKLN,PowerShares Senior Loan Portfolio ETF,23.18,5555825.6,3072697,7.28%,No,No,0.22%,0.41%,4.79%,5.89%,24.95%,High Yield Bonds,2011-03-03,0.65%,Charles Schwab,$1.07,2016-09-15,$0.10,4.61%,n/a,0.17,225,13.07%,$23.09,$23.19,n/a,n/a,62,2.97%,35%,15%,1099,A,C+,B-,A-,B-,B+,B
MLPY,Morgan Stanley Cushing MLP High Income Index ETN,7.97,59356.6,6198,27.28%,No,No,4.32%,-0.38%,-2.16%,-38.30%,-16.35%,MLPs,2011-03-16,0.85%,Not Available,$0.89,2016-07-12,$0.15,11.18%,n/a,2.43,n/a,n/a,$7.63,$8.26,$7.94,$8.02,51,25.24%,35%,15%,1099,B-,B,B+,B+,A,n/a,B+
PSCD,PowerShares S&P SmallCap Consumer Discretionary Portfolio ETF,49.30,76492.5,3317,7.86%,No,No,3.07%,-0.35%,1.10%,16.03%,117.50%,Consumer Discretionary Equities,2010-04-07,0.29%,Not Available,$0.37,2016-09-16,$0.09,0.76%,18.31,-1.38,103,23.47%,$47.28,$49.95,$49.19,$49.40,53,17.24%,35%,15%,1099,B-,A,A,B,B-,A-,B+
PSCC,PowerShares S&P SmallCap Consumer Staples Portfolio ETF,65.59,108768,29382,19.96%,No,No,1.45%,-1.86%,18.65%,44.80%,139.23%,Consumer Staples Equities,2010-04-07,0.29%,Not Available,$0.87,2016-09-16,$0.09,1.31%,23.05,-1.34,16,80.99%,$63.51,$68.28,n/a,n/a,48,14.76%,35%,15%,1099,B-,A-,A,B,C+,C,B-
PSCE,PowerShares S&P SmallCap Energy Portfolio ETF,16.73,46764,38157,9.02%,No,No,1.27%,-2.63%,-1.30%,-62.04%,-39.59%,Energy Equities,2010-04-07,0.29%,Not Available,$0.09,2016-09-16,$0.01,0.53%,-69.74,2.95,32,70.66%,$16.20,$17.92,$16.53,$17.09,49,39.73%,35%,15%,1099,B-,A,A,C+,C,C+,B-
PSCF,PowerShares S&P SmallCap Financials Portfolio ETF,45.30,204705,11640,12.99%,No,No,2.35%,0.71%,15.50%,31.56%,127.10%,Financials Equities,2010-04-07,0.37%,Not Available,$1.18,2016-09-16,$0.24,2.59%,18.63,1.12,119,17.34%,$43.87,$46.19,n/a,n/a,57,16.30%,35%,15%,1099,B-,B+,C+,A,A-,A-,A-
PSCH,PowerShares S&P SmallCap Health Care Portfolio ETF,76.07,211337.5,11351,5.84%,No,No,1.36%,4.56%,7.29%,61.81%,190.78%,Health & Biotech Equities,2010-04-07,0.29%,Not Available,n/a,2014-12-24,$1.44,2.01%,32.76,1.29,74,31.79%,$72.16,$76.51,$75.75,$76.68,59,17.30%,35%,15%,1099,B-,A,B-,A-,B-,A-,B+
PSCI,PowerShares S&P SmallCap Industrials Portfolio ETF,49.32,62225,5034,14.55%,No,No,2.60%,-0.16%,17.95%,23.21%,130.40%,Industrials Equities,2010-04-07,0.29%,Not Available,$0.34,2016-09-16,$0.05,0.68%,18.50,1.33,103,18.92%,$47.60,$50.75,$49.28,$49.38,54,17.21%,35%,15%,1099,B+,A,A-,B-,A-,B+,A-
PSCT,PowerShares S&P SmallCap Information Technology Portfolio ETF,63.59,483049,46683,21.63%,No,No,3.36%,3.16%,32.08%,57.61%,178.12%,Technology Equities,2010-04-07,0.29%,Not Available,$0.12,2016-06-17,$0.01,0.18%,19.08,1.31,99,25.76%,$60.32,$63.74,n/a,n/a,64,18.55%,35%,15%,1099,B,A,A,B-,A-,A,A
PSCM,PowerShares S&P SmallCap Materials Portfolio ETF,39.65,17847,3266,27.32%,No,No,3.96%,1.73%,25.55%,5.74%,85.90%,Materials,2010-04-07,0.29%,Not Available,$0.37,2016-09-16,$0.06,0.92%,20.12,1.77,39,47.50%,$37.58,$40.36,$39.57,$39.77,58,24.92%,35%,15%,1099,C+,A-,A+,B,C,B,B-
PSCU,PowerShares S&P SmallCap Utilities Portfolio ETF,46.33,62788.5,53288,14.54%,No,No,3.02%,3.00%,26.99%,55.45%,100.99%,Utilities Equities,2010-04-07,0.29%,Not Available,$1.11,2016-09-16,$0.53,2.39%,29.34,-1.38,19,71.03%,$44.02,$46.23,n/a,n/a,54,13.82%,35%,15%,1099,B-,A,A-,B+,A,C,B
SJB,Short High Yield ETF,25.18,215032.5,133257,-12.11%,Yes,No,-1.02%,-0.75%,-10.49%,-16.87%,-38.09%,Inverse Bonds,2011-03-22,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-0.57,4,100.01%,$25.05,$25.62,$25.13,$25.21,41,7.56%,35%,15%,1099,A,C+,C,A,n/a,n/a,B-
QQQ,PowerShares QQQ ETF,118.33,40124790.4,22468438,6.64%,No,No,0.89%,1.58%,15.28%,55.38%,134.78%,Large Cap Growth Equities,1999-03-10,0.20%,Not Available,$1.24,2016-09-16,$0.29,1.04%,19.62,1.07,106,50.44%,$114.62,$118.83,$117.99,$118.83,59,13.91%,35%,15%,1099,A+,A-,A-,C+,B,B,A-
SAGG,Direxion Daily Total Bond Market Bear 1x Shares ETF,31.06,3104,426,-5.85%,Yes,No,0.00%,0.39%,-5.39%,-13.43%,-16.73%,Inverse Bonds,2011-03-23,0.65%,Not Available,n/a,n/a,n/a,n/a,n/a,-0.49,5,106.91%,$30.74,$31.56,n/a,n/a,28,5.90%,35%,15%,1099,B,A-,B,B,n/a,n/a,C+
TYNS,Direxion Daily 7-10 Year Treasury Bear 1x Shares,27.67,1375.5,3332,-6.93%,Yes,No,-0.04%,0.55%,-7.64%,-18.74%,-20.10%,Inverse Bonds,2011-03-23,0.65%,Not Available,n/a,n/a,n/a,n/a,n/a,-1.28,4,103.74%,$27.15,$27.85,$27.67,$27.67,40,11.81%,35%,15%,1099,C,A,B+,A-,n/a,n/a,B+
TYBS,Direxion Daily 20+ Year Treasury Bear 1x Shares ETF,19.61,11562,1342,-13.27%,Yes,No,0.46%,2.67%,-13.54%,-33.79%,-31.89%,Inverse Bonds,2011-03-23,0.65%,Not Available,n/a,n/a,n/a,n/a,n/a,-1.55,4,117.10%,$18.73,$19.67,$19.60,$19.61,53,15.91%,35%,15%,1099,B+,A,A,B,n/a,n/a,A-
IGS,Short Investment Grade Corporate ETF,25.29,2532,1140,-10.60%,Yes,No,-0.51%,-0.59%,-12.03%,-24.42%,-33.43%,Inverse Bonds,2011-03-29,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-1.67,4,100.47%,$25.23,$25.80,$25.29,$25.29,39,12.70%,35%,15%,1099,B,B-,B-,B+,n/a,n/a,B
HDV,iShares Core High Dividend ETF,81.84,6520328.4,551994,13.40%,No,No,1.24%,0.07%,21.67%,33.00%,96.28%,Large Cap Value Equities,2011-03-29,0.12%,Fidelity,$2.79,2016-06-21,$0.68,3.40%,20.46,1.03,77,58.22%,$80.28,$83.10,$81.73,$82.00,50,10.32%,35%,15%,1099,A,A,C,A,A,C+,A-
TBZ,UltraShort 3-7 Year Treasury ETF,26.10,2603,1227,-8.55%,Yes,2x,-0.31%,0.69%,-9.06%,-20.60%,-23.91%,Leveraged Bonds,2011-04-05,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,2.11,4,200.07%,$25.27,$27.16,$25.89,$26.33,50,18.65%,35%,15%,1099,C+,A-,B,A+,n/a,n/a,A-
TBX,Short 7-10 Year Treasury ETF,27.45,28833,9588,-7.01%,Yes,No,-0.47%,-0.33%,-6.44%,-18.30%,-20.39%,Inverse Bonds,2011-04-05,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,0.53,4,100.41%,$27.32,$27.69,n/a,n/a,49,6.15%,35%,15%,1099,A-,C,B+,A,n/a,n/a,A-
CBND,SPDR Barclays Capital Issuer Scored Corporate Bond ETF,32.82,26136,5298,6.72%,No,No,0.49%,-0.28%,6.23%,16.49%,21.13%,Corporate Bonds,2011-04-07,0.16%,Charles Schwab,$0.57,2016-09-12,$0.08,1.76%,n/a,0.46,942,4.39%,$32.53,$33.12,$32.75,$32.95,51,4.53%,35%,15%,1099,B-,B+,C+,B-,A-,A,B
FNK,First Trust Mid Cap Value AlphaDEX Fund,29.50,48988.5,21078,12.71%,No,No,1.64%,-0.28%,10.09%,13.99%,96.65%,Mid Cap Value Equities,2011-04-19,0.73%,Not Available,$0.43,2016-09-21,$0.11,1.45%,12.44,1.32,226,9.80%,$28.79,$30.22,$29.44,$29.63,52,17.85%,35%,15%,1099,A-,C+,A-,B-,C,C+,B-
FNY,First Trust Mid Cap Growth AlphaDEX Fund,31.20,97185,28546,8.44%,No,No,1.84%,0.43%,8.24%,23.79%,89.96%,Mid Cap Growth Equities,2011-04-19,0.70%,Not Available,$0.11,2016-09-21,$0.03,0.35%,28.93,1.22,226,8.58%,$30.28,$31.78,$31.14,$31.25,54,13.34%,35%,15%,1099,B,C+,C,C+,A+,B-,B-
FYC,First Trust Small Cap Growth AlphaDEX Fund,33.96,63177.5,16980,11.48%,No,No,2.54%,2.01%,12.58%,24.51%,109.22%,Small Cap Growth Equities,2011-04-19,0.70%,Not Available,$0.09,2016-09-21,$0.02,0.26%,22.60,1.26,263,7.65%,$32.61,$34.14,n/a,n/a,59,15.94%,35%,15%,1099,A-,C+,C,B+,C,C+,C+
FYT,First Trust Small Cap Value AlphaDEX Fund,30.79,57294.5,25195,14.35%,No,No,2.29%,0.07%,12.04%,10.27%,98.20%,Small Cap Value Equities,2011-04-19,0.75%,Not Available,$0.25,2016-09-21,$0.07,0.81%,16.20,1.39,263,7.74%,$29.81,$31.35,n/a,n/a,55,17.99%,35%,15%,1099,A-,C,A,C+,C,B-,C
HUSE,U.S. Equity Rotation Strategy ETF,38.27,4736.3,1680,1.00%,No,No,1.19%,-0.05%,6.05%,27.18%,n/a,All Cap Equities,2012-07-23,0.95%,Not Available,$0.42,2015-12-29,$0.42,1.10%,21.10,0.92,33,33.95%,$37.50,$38.77,$38.16,$38.39,51,14.09%,35%,15%,1099,C,C,A-,C+,B,B+,B-
HECO,EcoLogical Strategy ETF,37.66,6329.7,425,5.64%,No,No,1.87%,-0.21%,6.50%,18.15%,n/a,All Cap Equities,2012-06-20,0.95%,Not Available,$0.03,2015-12-29,$0.03,0.09%,18.36,1.59,41,29.99%,$36.70,$38.40,$37.65,$37.66,60,14.92%,35%,15%,1099,C,C,B-,C,C,C+,C
HYMB,SPDR Nuveen S&P High Yield Municipal Bond ETF,59.33,530173,92503,5.08%,No,No,-0.05%,-0.09%,7.79%,31.74%,42.65%,National Munis,2011-04-14,0.45%,Charles Schwab,$1.46,2016-09-01,$0.18,2.45%,n/a,0.20,802,8.94%,$59.24,$59.51,$59.27,$59.38,50,2.19%,35%,15%,1099,A-,C,A-,B-,A,B,B+
IGU,Ultra Investment Grade Corporate ETF,69.00,3449.5,141,21.70%,No,2x,2.88%,1.17%,21.63%,46.25%,65.21%,Leveraged Bonds,2011-04-14,1.02%,Not Available,$0.94,2016-06-22,$0.24,1.36%,n/a,4.31,5,198.99%,$65.31,$71.42,$69.00,$69.00,65,24.79%,35%,15%,1099,B-,A-,B-,A-,n/a,n/a,B
UJB,Ultra High Yield ETF,60.10,1491.3,1311,27.91%,No,2x,2.37%,-2.32%,13.39%,18.99%,69.52%,Leveraged Bonds,2011-04-14,1.05%,Not Available,$1.54,2016-09-21,$0.34,2.58%,n/a,3.24,6,199.63%,$56.42,$62.27,$60.10,$60.10,57,60.44%,35%,15%,1099,B-,B+,A-,A,n/a,n/a,A
FLTR,VanEck Vectors Investment Grade Floating Rate ETF,24.95,77283,9557,1.84%,No,No,0.24%,0.33%,1.65%,2.23%,n/a,Corporate Bonds,2011-04-26,0.14%,Not Available,$0.24,2016-09-01,$0.03,0.95%,n/a,0.17,143,22.49%,$24.88,$24.94,$24.91,$24.97,59,2.02%,35%,15%,1099,B-,B+,C+,A-,C,C+,B-
BDCS,ETRACS Linked to the Wells Fargo Business Development Company Index ETN,22.01,76264.7,15008,16.10%,No,No,1.57%,-0.41%,15.55%,7.65%,69.98%,Financials Equities,2011-04-27,0.85%,Not Available,$1.80,2016-07-12,$0.45,8.20%,n/a,0.84,n/a,n/a,$21.52,$22.67,n/a,n/a,56,10.58%,35%,15%,1099,B+,C,C+,A,A,n/a,B+
SPHB,PowerShares S&P 500 High Beta Portfolio ETF,32.22,229336.5,174815,10.57%,No,No,0.81%,-0.18%,13.19%,21.76%,106.28%,Large Cap Blend Equities,2011-05-05,0.25%,Charles Schwab,$0.32,2016-09-16,$0.05,0.97%,17.05,1.62,100,13.74%,$31.69,$32.81,$32.02,$32.52,53,24.25%,35%,15%,1099,A-,B+,C,C,B+,B-,B-
SPLV,PowerShares S&P 500 Low Volatility Portfolio ETF,41.96,7152032,2755551,10.51%,No,No,2.04%,0.54%,19.32%,42.13%,104.84%,Large Cap Blend Equities,2011-05-05,0.25%,Charles Schwab,$0.84,2016-09-15,$0.07,1.99%,21.01,-1.14,100,11.87%,$40.70,$42.55,$41.88,$42.09,52,10.88%,35%,15%,1099,A,A-,A+,A,A-,B-,A
FWDD,Madrona Forward Domestic ETF,42.98,27930.5,1754,4.12%,No,No,1.97%,0.07%,8.44%,22.13%,103.34%,Large Cap Blend Equities,2011-06-21,1.25%,Not Available,$0.15,2015-12-24,$0.15,0.36%,16.39,0.90,447,6.70%,$41.93,$43.63,$42.98,$42.98,55,16.80%,35%,15%,1099,B-,C,C+,C,C+,B+,C+
FMK,First Trust Mega Cap AlphaDEX Fund,27.26,14998.5,1395,4.46%,No,No,2.54%,1.18%,10.51%,21.68%,80.84%,Large Cap Blend Equities,2011-05-12,0.70%,Not Available,$0.44,2016-09-21,$0.12,1.61%,13.92,0.99,51,33.05%,$26.48,$27.37,$27.24,$27.29,57,12.76%,35%,15%,1099,B,C,B-,B-,B+,C,C+
CNTR,PowerShares Contrarian Opportunities Portfolio ETF,26.23,1339,266,7.52%,No,No,-1.13%,0.77%,5.64%,n/a,n/a,All Cap Equities,2014-01-15,0.35%,Not Available,$0.13,2016-06-17,$0.05,0.49%,12.17,1.90,126,8.85%,$25.29,$26.86,n/a,n/a,60,27.35%,35%,15%,1099,C,B+,n/a,C,C+,B,C+
SMDV,Russell 2000 Dividend Growers ETF,48.09,160830.3,55417,20.83%,No,No,2.86%,1.41%,28.26%,n/a,n/a,Mid Cap Value Equities,2015-02-03,0.40%,Not Available,$0.72,2016-09-21,$0.16,1.49%,21.93,1.25,60,18.98%,$46.20,$48.53,n/a,n/a,57,13.29%,35%,15%,1099,n/a,B-,n/a,n/a,n/a,n/a,n/a
TTFS,AdvisorShares Wilshire Buyback ETF,58.14,141523,13192,7.49%,No,No,1.27%,-0.62%,9.62%,32.92%,n/a,All Cap Equities,2011-10-05,0.99%,Not Available,$0.42,2015-12-24,$0.42,0.72%,18.09,1.09,101,21.63%,$56.98,$59.36,$58.00,$58.32,52,14.74%,35%,15%,1099,B+,C,B,A-,B-,B,B
GASL,Direxion Daily Natural Gas Related Bull 3x Shares ETF,42.26,68968.1,211275,-31.17%,No,3x,0.24%,-11.29%,-80.39%,-99.72%,-99.78%,Leveraged Equities,2010-07-14,0.95%,Not Available,n/a,2011-12-21,$0.08,0.38%,n/a,7.29,n/a,n/a,$39.60,$52.89,$40.09,$45.41,47,88.41%,35%,15%,1099,A,A-,C,C,n/a,n/a,B-
GASX,Direxion Daily Natural Gas Related Bear 3x Shares ETF,30.78,6420.3,35100,-85.63%,Yes,3x,-2.13%,5.45%,n/a,n/a,n/a,Leveraged Equities,2015-12-03,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-7.43,7,352.83%,$25.88,$32.64,$28.90,$32.07,48,88.32%,39%,20%,1099,A-,B+,C+,C,n/a,n/a,C+
BDCL,ETRACS 2xLeveraged Long Wells Fargo Business Development Company Index ETN,18.79,261181,114468,34.69%,No,2x,2.96%,0.21%,29.18%,11.71%,167.30%,Leveraged Equities,2011-05-25,0.85%,Not Available,$2.93,2016-07-12,$0.71,15.62%,n/a,1.56,n/a,n/a,$17.83,$19.64,$18.60,$18.88,59,17.82%,35%,15%,1099,A-,A,B-,A,n/a,n/a,A
GSY,Guggenheim Enhanced Short Duration ETF,50.17,912912.1,163811,1.44%,No,No,0.00%,0.14%,1.45%,3.75%,6.47%,Money Market,2008-02-12,0.30%,Not Available,$0.61,2016-09-01,$0.05,1.22%,n/a,0.05,193,8.77%,$50.10,$50.17,n/a,n/a,67,0.56%,35%,15%,1099,B,B-,A+,B+,A+,A,A
ROOF,IQ US Real Estate Small Cap ETF,27.88,86335,22022,17.17%,No,No,2.88%,-0.32%,21.10%,38.05%,133.23%,Real Estate,2011-06-14,0.69%,Not Available,$1.47,2016-06-22,$0.37,5.29%,29.18,-1.56,71,29.73%,$26.66,$29.09,$27.70,$28.02,52,15.10%,35%,15%,1099,B,C+,A,B-,A,B+,A-
CURE,Direxion Daily Healthcare Bull 3x Shares ETF,33.38,232875,114595,-0.06%,No,3x,4.08%,0.79%,11.68%,139.10%,914.72%,Leveraged Equities,2011-06-15,0.95%,Not Available,n/a,2013-12-12,$0.86,0.63%,20.13,-3.05,12,300.60%,$30.95,$33.90,n/a,n/a,51,36.80%,35%,15%,1099,A-,A-,B-,B-,n/a,n/a,A-
SICK,Daily Healthcare Bear 3x Shares ETF,31.46,1563.5,522,-16.06%,Yes,3x,-6.23%,5.04%,n/a,n/a,n/a,Leveraged Equities,2015-12-03,0.95%,Not Available,n/a,n/a,n/a,n/a,n/a,-3.49,5,304.57%,$29.03,$34.87,$31.45,$31.48,45,44.95%,39%,20%,1099,n/a,A-,n/a,n/a,n/a,n/a,n/a
TOTS,Direxion Daily Total Market Bear 1x Shares ETF,17.59,2628,1824,-7.03%,Yes,No,-1.35%,-4.35%,-9.05%,-31.07%,-52.04%,Inverse Equities,2011-06-15,0.65%,Not Available,n/a,2011-12-13,$2.00,n/a,n/a,-1.00,4,99.68%,$17.32,$18.94,$17.50,$17.64,39,13.90%,35%,15%,1099,C+,A-,A-,A,n/a,n/a,B+
PXLV,PowerShares Russell Top 200 Pure Value Portfolio ETF,31.66,64903,3369,12.35%,No,No,1.94%,1.36%,18.97%,28.57%,115.02%,Large Cap Value Equities,2011-06-16,0.39%,Not Available,$0.74,2016-09-16,$0.20,2.35%,14.92,0.86,65,29.15%,$30.88,$31.77,n/a,n/a,62,13.02%,35%,15%,1099,C+,B,B-,B,B+,C+,B-
PXLG,PowerShares Russell Top 200 Pure Growth Portfolio ETF,33.87,146329,8689,-0.76%,No,No,1.41%,-0.51%,5.16%,33.03%,105.41%,Large Cap Growth Equities,2011-06-16,0.39%,Not Available,$0.25,2016-09-16,$0.08,0.74%,25.20,-1.02,74,28.11%,$33.04,$34.46,$33.84,$33.90,50,12.67%,35%,15%,1099,B-,B,B,B-,B+,C+,B
